from,to,amount,resource,time
0,72832678164482443,2.3148134687289712e-05,food,217
0,72832678164482443,2.314814814852184e-05,water,217
0,72832678164482443,2.314814814852184e-05,energy,217
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,217
0,72832678164482443,2.314816160975397e-05,food,218
0,72832678164482443,2.314814814852184e-05,water,218
0,72832678164482443,2.314814814852184e-05,energy,218
0,72832678164482443,2.3148134687289712e-05,food,219
0,72832678164482443,2.314814814852184e-05,water,219
0,72832678164482443,2.314814814852184e-05,energy,219
0,72832678164482443,2.314816160975397e-05,food,220
0,72832678164482443,2.314814814852184e-05,water,220
0,72832678164482443,2.314814814852184e-05,energy,220
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,220
0,72832678164482443,2.3148134687289712e-05,food,221
0,72832678164482443,2.314814814852184e-05,water,221
0,72832678164482443,2.314814814852184e-05,energy,221
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,221
0,72832678164482443,2.314816160975397e-05,food,222
0,72832678164482443,2.314814814852184e-05,water,222
0,72832678164482443,2.314814814852184e-05,energy,222
0,72832678164482443,2.3148134687289712e-05,food,223
0,72832678164482443,2.314814814852184e-05,water,223
0,72832678164482443,2.314814814852184e-05,energy,223
0,72832678164482443,2.314816160975397e-05,food,224
0,72832678164482443,2.314814814852184e-05,water,224
0,72832678164482443,2.314814814852184e-05,energy,224
0,72832678164482443,2.3148134687289712e-05,food,225
0,72832678164482443,2.314814814852184e-05,water,225
0,72832678164482443,2.314814814852184e-05,energy,225
0,72832678164482443,2.314816160975397e-05,food,226
0,72832678164482443,2.314814814852184e-05,water,226
0,72832678164482443,2.314814814852184e-05,energy,226
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,226
0,72832678164482443,2.3148134687289712e-05,food,227
0,72832678164482443,2.314814814852184e-05,water,227
0,72832678164482443,2.314814814852184e-05,energy,227
0,72832678164482443,2.314816160975397e-05,food,228
0,72832678164482443,2.314814814852184e-05,water,228
0,72832678164482443,2.314814814852184e-05,energy,228
0,72832678164482443,2.3148134687289712e-05,food,229
0,72832678164482443,2.314814814852184e-05,water,229
0,72832678164482443,2.314814814852184e-05,energy,229
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,229
0,72832678164482443,2.314816160975397e-05,food,230
0,72832678164482443,2.314814814852184e-05,water,230
0,72832678164482443,2.314814814852184e-05,energy,230
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,230
0,72832678164482443,2.3148134687289712e-05,food,231
0,72832678164482443,2.314814814852184e-05,water,231
0,72832678164482443,2.314814814852184e-05,energy,231
0,72832678164482443,2.314816160975397e-05,food,232
0,72832678164482443,2.314814814852184e-05,water,232
0,72832678164482443,2.314814814852184e-05,energy,232
0,72832678164482443,2.3148134687289712e-05,food,233
0,72832678164482443,2.314814814852184e-05,water,233
0,72832678164482443,2.314814814852184e-05,energy,233
0,72832678164482443,2.314816160975397e-05,food,234
0,72832678164482443,2.314814814852184e-05,water,234
0,72832678164482443,2.314814814852184e-05,energy,234
0,72832678164482443,2.3148134687289712e-05,food,235
0,72832678164482443,2.314814814852184e-05,water,235
0,72832678164482443,2.314814814852184e-05,energy,235
0,72832678164482443,2.314816160975397e-05,food,236
0,72832678164482443,2.314814814852184e-05,water,236
0,72832678164482443,2.314814814852184e-05,energy,236
0,72832678164482443,2.3148134687289712e-05,food,237
0,72832678164482443,2.314814814852184e-05,water,237
0,72832678164482443,2.314814814852184e-05,energy,237
0,72832678164482443,2.314816160975397e-05,food,238
0,72832678164482443,2.314814814852184e-05,water,238
0,72832678164482443,2.314814814852184e-05,energy,238
0,72832678164482443,2.3148134687289712e-05,food,239
0,72832678164482443,2.314814814852184e-05,water,239
0,72832678164482443,2.314814814852184e-05,energy,239
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,239
0,72832678164482443,2.314816160975397e-05,food,240
0,72832678164482443,2.314814814852184e-05,water,240
0,72832678164482443,2.314814814852184e-05,energy,240
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,240
0,72832678164482443,2.3148134687289712e-05,food,241
0,72832678164482443,2.314814814852184e-05,water,241
0,72832678164482443,2.314814814852184e-05,energy,241
0,72832678164482443,2.314816160975397e-05,food,242
0,72832678164482443,2.314814814852184e-05,water,242
0,72832678164482443,2.314814814852184e-05,energy,242
0,72832678164482443,2.3148134687289712e-05,food,243
0,72832678164482443,2.314814814852184e-05,water,243
0,72832678164482443,2.314814814852184e-05,energy,243
0,72832678164482443,2.314816160975397e-05,food,244
0,72832678164482443,2.314814814852184e-05,water,244
0,72832678164482443,2.314814814852184e-05,energy,244
0,72832678164482443,2.3148134687289712e-05,food,245
0,72832678164482443,2.314814814852184e-05,water,245
0,72832678164482443,2.314814814852184e-05,energy,245
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,245
0,72832678164482443,2.314816160975397e-05,food,246
0,72832678164482443,2.314814814852184e-05,water,246
0,72832678164482443,2.314814814852184e-05,energy,246
0,72832678164482443,2.3148134687289712e-05,food,247
0,72832678164482443,2.314814814852184e-05,water,247
0,72832678164482443,2.314814814852184e-05,energy,247
0,72832678164482443,2.314816160975397e-05,food,248
0,72832678164482443,2.314814814852184e-05,water,248
0,72832678164482443,2.314814814852184e-05,energy,248
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,248
0,72832678164482443,2.3148134687289712e-05,food,249
0,72832678164482443,2.314814814852184e-05,water,249
0,72832678164482443,2.314814814852184e-05,energy,249
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,249
0,72832678164482443,2.314816160975397e-05,food,250
0,72832678164482443,2.314814814852184e-05,water,250
0,72832678164482443,2.314814814852184e-05,energy,250
0,72832678164482443,2.3148134687289712e-05,food,251
0,72832678164482443,2.314814814852184e-05,water,251
0,72832678164482443,2.314814814852184e-05,energy,251
0,72832678164482443,2.314816160975397e-05,food,252
0,72832678164482443,2.314814814852184e-05,water,252
0,72832678164482443,2.314814814852184e-05,energy,252
0,72832678164482443,2.3148134687289712e-05,food,253
0,72832678164482443,2.314814814852184e-05,water,253
0,72832678164482443,2.314814814852184e-05,energy,253
0,72832678164482443,2.314816160975397e-05,food,254
0,72832678164482443,2.314814814852184e-05,water,254
0,72832678164482443,2.314814814852184e-05,energy,254
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,254
0,72832678164482443,2.3148134687289712e-05,food,255
0,72832678164482443,2.314814814852184e-05,water,255
0,72832678164482443,2.314814814852184e-05,energy,255
0,72832678164482443,2.314816160975397e-05,food,256
0,72832678164482443,2.314814814852184e-05,water,256
0,72832678164482443,2.314814814852184e-05,energy,256
0,72832678164482443,2.3148134687289712e-05,food,257
0,72832678164482443,2.314814814852184e-05,water,257
0,72832678164482443,2.314814814852184e-05,energy,257
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,257
0,72832678164482443,2.314816160975397e-05,food,258
0,72832678164482443,2.314814814852184e-05,water,258
0,72832678164482443,2.314814814852184e-05,energy,258
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,258
0,72832678164482443,2.3148134687289712e-05,food,259
0,72832678164482443,2.314814814852184e-05,water,259
0,72832678164482443,2.314814814852184e-05,energy,259
0,72832678164482443,2.314816160975397e-05,food,260
0,72832678164482443,2.314814814852184e-05,water,260
0,72832678164482443,2.314814814852184e-05,energy,260
0,72832678164482443,2.3148134687289712e-05,food,261
0,72832678164482443,2.314814814852184e-05,water,261
0,72832678164482443,2.314814814852184e-05,energy,261
0,72832678164482443,2.314816160975397e-05,food,262
